Season	Episode	Title	Rating	Summary
1	1	Pilot	8.5	Widower Michael Bluth has been working for his father's development company since he was a teenager manning the family's frozen banana stand, and he and his son George Michael have gone so ...
1	2	Top Banana	8.7	Michael suspects that George Sr. is running the business from inside prison. George Michael is made manager of the banana stand, and Michael gives GOB a letter to mail after Lucille suggests that he be included in the business.
1	3	Bringing Up Buster	8.3	Lucille suggests that Buster be included in the family activities, but Buster is reluctant to leave his mother's apartment in hopes of avoiding Lucille 2. Meanwhile, Tobias takes over the ...
1	4	Key Decisions	8.6	Determined to not be upstaged by his actress girlfriend, GOB decides to pull an elaborate escape at the Orange County Prison, where George Sr. is being held. Meanwhile, Michael falls for GOB's girlfriend Marta.
1	5	Charity Drive	8.5	To help the company's image, Lindsay returns to her roots - charity fund raisers. While Lindsay is the most charitable member of the family, Michael tries to prove he's a more charitable ...
1	6	Visiting Ours	8.3	Michael gets a tip about the company's international accounts, and has GOB question the office secretary Kitty about them. But that's not before Michael does the unthinkable - setting up a conjugal visit between George Sr. and Lucille.
1	7	In God We Trust	8.3	It's time for the annual Living Classics Pageant, and Barry makes a deal with Michael to get George Sr. out in time to take part in the pageant's signature exhibit - Michaelangelo's The ...
1	8	My Mother the Car	8.3	Michael cannot remember anything about the car accident he and Lucille were in. While he's trying to piece together the accident, GOB thinks Michael is planning to escape to South America ...
1	9	Storming the Castle	8.6	Determined to get back in the Magician's Alliance, GOB puts on one last big show, thanks to his brother Michael. Michael, hoping to steal Marta away from GOB, tries to pull a scam almost as...
1	10	Pier Pressure	9.1	When Michael suspects that George Michael has been smoking marijuana, he enlists the help of a one-armed man his father used to scare them as children. GOB and Buster participate in the ...
1	11	Public Relations	8.5	The family's new public relations director gives them each a task while Michael tries to get his son in the prestigious Milford Academy. Buster, a graduate, is to be neither seen nor heard....
1	12	Marta Complex	8.6	It's Valentine's Day and everyone but Michael has a reason to celebrate. Buster, tired of dealing with his mother, goes to live with the rest of the family in the model home. But soon Marta...
1	13	Beef Consomme	8.6	After Tobias moves into his room, George Michael gets a rather curious tip about his cousin's origins, so he decides to investigate. GOB, worried about his girlfriend Marta, heads down to ...
1	14	Shock and Aww	8.7	George Bluth Sr. gets a visit from a rabid female fan who may be in love with him. George Michael is interested in his teacher, and so is his father. Gob tries to get revenge on Michael for trying to steal his girlfriend.
1	15	Staff Infection	8.4	Michael is tired of the family getting free handouts from the Bluth Company without doing anything, so he puts them to work. He puts Lindsay to work at the company answering phones, while ...
1	16	Altar Egos	8.7	Micheal has a one-night stand with a woman named Maggie Lizer. He has a guilt-trip after learning she is blind, but not so much after he discovers that she's the prosecuting attorney ...
1	17	Justice Is Blind	8.8	Michael gets an evidence file about his family after sleeping with the Maggie Lizer, the prosecuting attorney. But he suspects that she's not exactly telling the truth, so he sends Tobias ...
1	18	Missing Kitty	8.6	Spring Break hits Orange County, and GOB plans to take his magic act to the popular video series "Girls With Low Self Esteem" by making the family yacht disappear. Michael becomes concerned...
1	19	Best Man for the Gob	8.5	The family accountant, Ira Gilligan, is planning to snitch, and George Sr. will do everything possible to stop him. He enlists GOB to throw a party, where he will try to make Ira flee the ...
1	20	Whistler's Mother	8.3	Some company funds have been unfrozen, and everyone in the family wants a cut of it. Michael makes a bad investment on his uncle Oscar's land, and takes the blame for it. Meanwhile George ...
1	21	Not Without My Daughter	8.8	Michael decides that it's time to retire a long-running joke involving George-Michael and "Take Your Daughter To Work Day", so he brings Maeby along for the ride instead. The police get ...
1	22	Let 'Em Eat Cake	8.9	Michael learns the real secret behind the Bluth Company's international accounts - his dad may have been illegally building houses similar to the one he lives in in Iraq. George Sr. agrees ...
2	1	The One Where Michael Leaves	8.8	Michael Bluth denounces his family after George Sr. escapes to Mexico with his secretary Kitty. But when Michael announces plans to move to Phoenix, Barry informs him that he cannot leave ...
2	2	The One Where They Build a House	8.8	Michael's new business model backfires when GOB suggests that they build a fake house in two weeks. Meanwhile, George Sr. turns up in Mexico, only to be captured by prison guards who have ...
2	3	Amigos	8.9	Michael gets a lead that his father has fled to Mexico and takes along a group to retrieve him. In the meantime, he tries to connect with George-Michael's girlfriend, Ann, and Buster tries to escape going off to the army by stowing away.
2	4	Good Grief!	9.0	George is declared dead in Mexico and the Bluth family holds a wake for their dead family member. Meanwhile, George isn't dead and has returned to the USA, only to be found by a newly dumped George Michael.
2	5	Sad Sack	8.8	Some unfortunate pictures of Tobias wind up on the internet, which the military mistakes for pictures of Iraq and proof that the Bluth Company was building houses over there. Wayne Jarvis, ...
2	6	Afternoon Delight	9.0	While Buster looks for ways to get out of serving in Iraq, Lindsay's quest to score a date at the Bluth Company Christmas party backfires after GOB's sexual harassment speech. Michael and ...
2	7	Switch Hitter	8.5	GOB suspects that rival housing contractor Stan Sitwell is up for a power grab at the Bluth Company when he wants to hire GOB. Michael plans the annual softball game between the rival ...
2	8	Queen for a Day	8.3	Michael finds out that some company funds have been unfrozen, which the family quickly spends on some elaborate stuff. He then trades the family's portable stairway vehicle for a Corvette. ...
2	9	Burning Love	8.4	The family's careless selfish spending sprees cause them to lose control of the Bluth Company to Lucille 2. GOB tries to regain control of the company by courting Lucille 2. Michael ...
2	10	Ready, Aim, Marry Me	8.5	Desperate to find money, at George Sr.'s request, Michael contacts "Uncle Jack", a man who the family has had past business relations with. Meanwhile, the family members enjoy their weekend...
2	11	Out on a Limb	8.6	Maggie Lizer returns after Michael bumps into her at the courtroom. But that's not before he realizes that she's 8 1/2 months pregnant. This comes after Michael tries to go after his ...
2	12	Hand to God	8.9	Lindsay and Tobias continue to investigate the mysterious pregnancy by Maggie Lizer, while Michael continues to see her. Buster prepares to go off to Iraq, but before doing so, decides to ...
2	13	Motherboy XXX	8.9	Lucille recruits George Michael to take Buster's place at the annual mother son dinner dance. While Michael and GOB are busy tracking down the seal that ate Buster's hand, Tobias signs away...
2	14	The Immaculate Election	8.8	At his girlfriend's request, George-Michael decides to run for class president, but finds that it will not be easy competing with his rival, Steve Holt. Once again, Michael and GOB find ...
2	15	Sword of Destiny	8.8	Determined to get back in the Magician's Alliance, GOB buys a sword from a Chinese shop and hires Buster to be the main magician while he's the assistant. Then he meets Tony Wonder who wants GOB and Buster to be on his next DVD.
2	16	Meat the Veals	9.0	Michael thinks George-Michael has set the bar too low with his dating standards, so he sets up a meeting between Ann's ultra-conservative parents and his family, hoping that would break ...
2	17	Spring Breakout	8.8	GOB is hoping to get even with the producers of "Girls With Low Self Esteem" after they botched his attempt to make the yacht disappear. Michael decides that it's finally time to get ...
2	18	Righteous Brothers	8.9	Michael thinks it's time for George Sr. to leave the attic where he's been hiding as a fugitive. George-Michael helps his girlfriend Ann stage a protest against the American remake of the ...
3	1	The Cabin Show	8.8	Michael learns that it's actually George Sr.'s twin brother Oscar serving time in prison, not George. After getting a tip from Barry, Michael heads to Reno to find George, but that costs him a camping trip he promised his son.
3	2	For British Eyes Only	8.6	George Sr. drops a major bombshell that he was working with a British syndicate who conned him into building the house in Iraq. Michael decides to investigate the claim by heading to the ...
3	3	Forget Me Now	8.8	George Sr. is placed under house arrest by the family's new attorney Bob Loblaw, and finds that it's not exactly a walk in the park. Michael sets up his first date with Rita, but Rita has ...
3	4	Notapusy	8.5	To prove he's a man to Rita, Michael and his nephew Steve Holt compete in the Church And State Fair's annual triathlon. George Sr. tries to scare some at-risk youth, and Tobias tries to ...
3	5	Mr. F	8.9	The family's meeting with Japanese investors backfires big time when Tobias mistakes a real government agent for a talent agent. GOB tries to connect with his father, who is controlling a ...
3	6	The Ocean Walker	8.9	Michael plans to marry Rita, but that's not before her uncle Trevor intervenes, and Michael discovers Rita's handicap. When the family learns that Rita has millions of dollars, they try to speed up the wedding process.
3	7	Prison Break-In	8.4	The family plans their annual fund raiser, and they actually have a cause this time - Tobias is ailing due to his transplanted hair plugs, which appear to be rejecting him. Lindsay uses the...
3	8	Making a Stand	8.9	Michael is tired of his father always having GOB compete with him, so Michael gets GOB his own banana stand franchise, only to find that GOB has set it up 20 feet from the old one. After ...
3	9	S.O.B.s	8.9	George Sr. suggests a last-ditch effort to save the family by holding a fund raiser to raise money to pay their legal expenses. Michael suggests to Lindsay that she take over the house work...
3	10	Fakin' It	8.8	As the family's upcoming deposition nears, they participate in a mock trial, hosted by Judge Reinhold. Michael searches for a mysterious witness on the list, while the prosecuting attorney ...
3	11	Family Ties	8.9	Michael's quest to locate the mysterious "N. Bluth" leads him to Nellie, a prostitute who he believes is his long-lost sister, and the woman who just might be able to clear everything up. ...
3	12	Exit Strategy	8.9	GOB heads to Iraq via his participation in the U.S.O., where he is quickly arrested and being held by the U.S. military. The prosecutors believe this is treasonous, so Michael and Buster ...
3	13	Development Arrested	9.1	After returning home from Iraq, George Sr. is finally cleared of all charges, and Michael is relieved to be the head of a successful company for a change. The real brains behind the madness...
